name,species,breed,image,gender,age,status,description
Joseph Cox,Dog,Afador,https://cdn2-www.dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-cover.jpg,Female,5,Available,"Afadors are mixed breed dogs. They are not purebreds like their Afghan Hound or Labrador Retriever parents.The most common Afador colors include black, brown, gray, red, and fawn.Shedding will definitely occur! Lots of grooming is required to keep the breed's coat in good condition--consider twice weekly brushing to be the minimum.The Afador does much better in colder climates rather than warm ones. Even so, kit your Afador out with a suitable winter coat if temperatures really drop.As an athletic mixed breed, the Afador will love to play fetch and folic in a safe off-leash environment. If you have a fenced-in yard, be warned that this is a dog that can easily leap over a six foot fence, so plan accordingly.Due to the breed's intelligence and stubborn streak, you'll want to make sure that both the dog and your children are properly trained to be around each other from day one."
Patricia Ruiz,Dog,Affenpinscher,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23096_affenpinscher-460x290.jpg,Female,2,Available,"The Affenpinscher, also known as the ""Monkey Dog"" (""affen"" means ""ape/monkey"" in German, and ""pinscher"" means ""terrier""), is small but feisty, full of spunk and energy. This mustachioed little devil is descended from the numerous small terriers that populated 17th and 18th century stables and shops throughout Europe, ridding them of rats and mice.Some of the intelligent, wiry-haired dogs must have caught the eye of ladies, because eventually they were bred to be smaller, the better to be a companion dog. Today the Affen is a rare breed, but he came to public notice in 2002 when Ch Yarrow's Super Nova won the Toy Group in 2002 at the nationally televised Westminster Kennel Club Show.This breed combines clownlike charm with a bold nature, and his creative thought process never ceases to astound and entertain his people. He learns quickly and adjusts readily to change, so he's a good traveler who's always ready for a new adventure. People who live with Affens admire their sensitivity and gentleness but warn that they are the quintessential big dog in a small body.Sturdy, smart, and alert, the Affenpinscher is an excellent watchdog who fears nothing. He's not normally loud, but he is excitable. Once he's on alert, it takes a while for him to calm down. He takes seriously his duty to guard home, family, and territory, and won't hesitate to alert the entire neighborhood that someone is approaching the front door. Frequent socialization with other people and animals is a must for the Affenpinscher to grow up to be a balanced adult. Without it, he'll never live up to his potential.The Affenpinscher has a mind of his own and is often labeled as stubborn. He needs early and consistent training. Fortunately, he's eager to learn and to please his people when he's taught with positive reinforcement techniques such as praise, play, and food rewards. He can compete in obedience and agility, and his entertainment ability makes him a wonderful therapy dog. Who wouldn't laugh to see him walking on his hind legs or waggling his eyebrows in a canine impersonation of Groucho Marx?While Affenpinschers are known for making their people laugh, they are not the best breed for a household full of children in spite of their antics. They aren't known to particularly like children, and they won't hesitate to bite if provoked.The Affen is a character, and that's part of his appeal. Consider him if you're interested in a small dog who enjoys seeing the sights, is an excellent watchdog, and will always make you laugh."
Dylan Dunn,Dog,Afghan Hound,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23004_afghan-hound-460x290.jpg,Female,9,Available,"The Afghan Hound was originally used for hunting large prey in both the deserts and in the mountains of Afghanistan, where his abundant, flowing coat was needed for warmth. The Afghan was highly valued for his ability to run _—” fast and over great distances _—” courageously holding dangerous animals, such as leopards, at bay until his huntsman on horseback caught up. The Afghan was also valued for his ability to think and hunt independently, without human direction.Today's Afghan Hound isn't hunting leopards but this sighthound does retain the independent nature of a coursing hound. An Afghan puppy will eagerly seek affection from family members, just like puppies of any breed, but this puppyhood behavior can fool unsuspecting owners. Cute puppy antics diminish as the Afghan matures. A mature Afghan Hound does not lavish attention on anyone, and sometimes doen't even want to be hugged or petted. The free-thinking, independent Afghan will decide for himself when he wants affection, and it will be on his terms _—” not yours.Independence and indifference aside, the Afghan Hound is tender when he wishes to be and can be very amusing. Often referred to as a ""clown"" by his affectionate family, the Afghan Hound is known to be mischievous and stories abound of this breed's ability to steal objects from under the very noses of family members, even going so far as to open dresser drawers and snatch clothes.With an ability to see far greater distances than humans and pivotal hip joints that enable him to cover ground quickly and easily clear obstacles, the Afghan is a natural for a sport called lure coursing. In lure coursing, the hounds give chase to plastic bags that are used to create the effect of escaping game. This competition tests the dog's ability to hunt by sight, and basic coursing instinct. In 1972, the American Sighthound Field Association (ASFA) began, and continues to operate and oversee a program much loved by owners and dogs alike.Whether competing in a coursing event, or enjoying life as a playful family companion, the Afghan Hound is a one-of-a-kind breed."
Jennifer Moyer,Dog,Airedale Terrier,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23050_airedale-terrier-460x290.jpg,Female,2,Available,"During World War I, a hardy Airedale Terrier named Jack braved the battlefields to deliver a message to British headquarters. Running through a half-mile of swamp, artillery raining down on him, Jack suffered a shattered leg and broken jaw. Sadly, he passed away soon after he'd completed his mission. Incredibly, the message he was carrying saved his battalion and he was posthumously awarded the Victoria Cross for ""Gallantry in the Field."" The bravery and courage exhibited by Jack holds true for today's Airedales.Dogs like Jack were bred as a multi-purpose dog who had the keenness of a terrier, but could swim and smell prey. Airedale Terriers have the distinction of being both a sporting and working dog, and today compete in agility, obedience, and hunt tests.They enjoy life the most when there is a job to be done, even if it is simply entertaining children, with whom he gets along splendidly. (Nevertheless, an adult should always supervise interactions between kids and dogs.)Like all terriers, the Airedale has a penchant for digging, chasing, and barking. He is full of energy and makes an excellent jogging companion. Daily walks and romps in the yard are among his favorite activities.You can't talk about the Airedale without mentioning his independent streak. This is an intelligent dog who thinks for himself and does not always wait for direction from his owner. If you want a highly biddable dog that awaits your every command, the Airedale Terrier is not the breed for you. However, if you are stimulated by challenge, living with an Airedale may suit you.It's worth mentioning that the Airedale Terrier is unforgiving of any harsh treatment and will hold a grudge against the aggressor. He can be aggressive to other dogs and animals, and has a strong prey drive, which makes him difficult to handle at times. It is said that the Airedale doesn't start fights _—” he finishes them. Consistent, positive obedience training is a must, as is a securely fenced yard.Not surprisingly, the Airedale is an excellent watchdog. He will protect his family from intruders with fierce and brave loyalty. However, he is friendly to invited guests in his home.Make no mistake: The Airedale isn't all business _—” his flipside is comical and playful. He enjoys the company of his family, and he loves romping and playing, tossing toys, stealing dirty socks, grabbing food off the kitchen counter, and just generally creating mischief. He matures slowly, and is often puppyish well into old age.The Airedale is a fascinating breed. He's courageous and athletic, stylish and silly. Many owners say that the only thing better than one Airedale Terrier is two."
Blake Brown,Dog,Akita,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22906_akita-460x290.jpg,Male,3,Available,"The Akita is a big, bold dog with a distinctly powerful appearance: a large head in contrast to small, triangular eyes; and a confident, rugged stance. The mere presence of a powerful Akita serves as a deterrent to most who would cause trouble.This breed is renowned for unwavering loyalty to their owners, and they can be surprisingly sweet and affectionate with family members. Imagine a loving protector who will follow you from room to room, whose entire mission in life seems to be simply to serve you.The Akita is courageous, a natural guardian of their family. Stubborn and willful, they won't back down from a challenge. They don't usually bark unless there is a good reason, but they are vocal, making amusing grunts, moans, and mumbles. Some owners say the Akita mutters under their breath and seem to be talking to themselves, while others say the Akita offers their opinion on all matters, from how to load the dishwasher to when the children should be put to bed.While these charming ""talking"" traits are exhibited to family, the Akita is often aloof and silent with visitors. They're naturally wary of strangers, though they will be welcoming enough to a house guest as long as their owners are home.Socializing the Akita puppy (or retraining an adult dog) with as much exposure to friendly people as possible can help soften the edge of their wariness, though an Akita will always be an Akita_—”a dignified and sober presence, not a party animal.One of the Akita's singular traits is mouthing. The Akita loves to carry things around in their mouth, and that includes your wrist. This is not an act of aggression, but simply an Akita way of communicating with those they love. They may lead you to their leash because they want to go for a walk, for example, or act on any number of other ideas that pop into their intelligent head.Many owners are charmed by the Akita's mouthing, but if you find it annoying, simply give your Akita a job that involves carrying something. They would happily get the newspaper or your slippers for you, or retrieve the mail or even those keys you keep misplacing.The Akita also proves themselves unusual with their grooming habits, licking their body like a cat. And that's not their only ""feline"" trait: like a tiger, they'll stalk their prey silently, body low to the ground. This is not a dog that will growl or bark a warning before springing into action.At 100 pounds or more, the Akita is a lot of muscular power. This is a dominating breed, and the Akita will want to dominate you. Proper training is essential, and training should be done by the owner. Because the Akita is so faithfully loyal, the bond between the owner and the dog must not be broken by boarding the dog with a trainer.Before adopting an Akita, it is crucial to spend time researching how to train this particular breed. Akitas do not respond well to harsh training methods. If your training is respectful, the dog will, in turn, respect you.But be prepared for training to take longer than it does for other breeds. Though the Akita is highly intelligent, stubborn willfulness is a part of their personality, which can and does interfere with training. The best results come from doing plenty of homework on how to train before ever bringing an Akita home with you. This is not a breed for the timid.The willful and determined Akita is also, despite their public reserve, a very social pet who needs plenty of time with their family. They not do well as a backyard dog. Companionship holds hands with loyalty, which is what this breed is all about. To make them live outside without benefit of family is to deny the very essence of the Akita breed. A lonely and bored Akita can become destructive and aggressive.The Akita is not recommended for first-time dog owners, for those who want a lapdog, or for those unwilling to take charge. But for owners who can and will invest time and effort in research and proper training, the reward is a fine, intelligent companion with unwavering loyalty.In addition to all other considerations, choosing an Akita means deciding which side of a controversy you want to stand on. This controversy is ""the split,"" and it relates to the Japanese or American standard for the breed.The Japanese Akita is considerably smaller, both in height and mass, than the American Akita_—”as much as 30 or more pounds lighter. Their foxlike head is decidedly different from the broad head of the American breed. The Japanese Akita has almond-shaped eyes, while the American Akita's eyes are triangular. A black mask is much in vogue on the American Akita but is considered a show disqualifier in Japan, where markings on the face are white.If you want your dog to compete in any American Kennel Club events, the black mask means the dog has been bred to the American standard and will be allowed to compete. In fact, in America, any color on the Akita is permitted; in Japan, only red, white, and some brindles are allowed.So wide are the differences between the types that it would seem that a split would be best for the breed. There appear to be as many strongly in favor of the split as there are those who are strongly against it. Deciding which standard to choose should be done only after much research and is largely a matter of personal taste.The Akita's natural hunting skills translate well to various activities. They still hunt today and are able to hold large game at bay until the hunter arrives. They can also retrieve waterfowl. They are adept at tracking, and their catlike movements make them talented in agility. Akita owners are increasingly surprising those skeptics who believe that the Akita nature prevents success in this field. While it's true that the breed's stubbornness can make training a challenge, Akitas and their owners are taking home ribbons as more people discover the thrill of accomplishment in working with this dog."
Brian Arellano,Dog,Alaskan Klee Kai,https://cdn3-www.dogtime.com/assets/uploads/2017/11/alaskan-klee-kai-breed-pictures-cover-460x260.jpg,Male,8,Available,"Unlike the Alaskan and Siberian Huskies they are descended from, Alaskan Klee Kais are meant to be companion dogs, rather than working animals that pull sleds. While they look similar to Huskies, Alaskan Klee Kais have some obvious differences in temperament, including their wariness of strangers. While they don't care for unfamiliar faces, they are very loving family dogs, and their constant vigilance makes them good watchdogs. Alaskan Klee Kais adore attention from their humans and are eager to please, which makes them highly trainable. Though they are a relatively new breed that is not recognized by the American Kennel Club, they are recognized by several other kennel clubs, and many breed standards have been established. That said, there is still variation among dogs within the breed, and some breeders are working to change less desirable temperament traits, such as skittishness. Alaskan Klee Kais are not bred by many, so they still remain a fairly rare breed throughout the world."
Hayley Fitzpatrick,Dog,Alaskan Malamute,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22908_alaskan-malamute-460x290.jpg,Female,6,Available,"When you first see an Alaskan Malamute, it's easy to be impressed by their large stature, wolf-like facial markings, and huge plumed tail waving at you. It's often believed that Malamutes are part wolf. They might play a wolf on TV or in the movies, but in truth they're all domestic dog.The Alaskan Malamute possesses tremendous strength, energy, endurance, independence, and intelligence. They were originally sought to pull heavy sleds over long distances as well as to hunt seals and polar bears. Now chosen primarily for companionship, Alaskan Malamutes succeed in several dog sports, including conformation, obedience competition, weight pulling, skijoring, backpacking, and recreational sledding.When they're not ""woo wooing"" or pulling you on your inline skates or watching TV with you, they're probably raiding the trash, surfing your kitchen counters for something good to eat, or digging a nice cool hole in the backyard.Malamutes regard everyone they meet as their friends. If you're looking for a watchdog, this is not the breed for you. A Malamute's size might scare off an intruder, but that's about the only protection you'll get out of them.Alaskan Malamutes do best in situations in which they have plenty of room and opportunities to exercise so they don't become bored and restless. Their independent nature often causes them to be labeled as stubborn or stupid, but their intelligence shines through with the correct training. If the Alaskan Malamute is the right breed for you, they will give you years of enjoyment as an active playmate and companion who keeps their puppy joie de vivre well into adult life."
Patricia Guzman,Dog,American Bulldog,https://cdn3-www.dogtime.com/assets/uploads/2017/12/american-bulldog-breed-pictures-9-460x260.jpg,Female,2,Available,"American Bulldogs are generally happy, family-loving dogs that do well in homes where they have plenty of space to roam.A big, fenced-in backyard is practically a must-have for one of these energetic dogs, though exercise needs may vary by specific type and breeding. They may be just fine with urban life, so long as they get plenty of walks, and they can even make good jogging or running buddies.They do not, however, take very well to being left alone for long periods of time, and they can feel cooped up in an apartment. If their physical and mental stimulation needs aren't met, they can become bored and destructive.American Bulldogs need experienced owners who can be patient with training and start socialization early. So long as they are well trained, they'll get along just fine with children and other pets, though it is still important to supervise them as you would with any dog.Whether they are used for hunting and farm work or just cuddling up with their humans, the American Bulldog makes for an excellent, loyal companion and a competent watchdog."
Ryan Ball,Dog,American English Coonhound,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23236_american-english-coonhound-460x290.jpg,Female,3,Available,"Once known as the Virginia Hound and adapted to hunt the rough terrain and tricky raccoons of the American colonies, the American English Coonhound is famous for his speed and endurance.He began as a dual-purpose dog who hunted fox by day and raccoon by night. He eagerly seeks his quarry, singing out as he hunts, a trait that carries over into home life. This hound will bark. On the plus side, he's pleasant toward people and other dogs. If you won't be hunting him, plan to give this swift and competitive dog plenty of daily exercise in other ways to prevent him from becoming frustrated and destructive. He'd make a good companion for a runner."
Evan Martinez,Dog,American Eskimo Dog,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23134_american-eskimo-dog-460x290.jpg,Female,8,Available,"Perhaps it's his white fluffy coat. Or jaunty personality. Or intelligence. Whatever ""it"" is, the American Eskimo Dog's got it in spades, and he uses it to captivate his owners.The Eskie is primarily a companion dog, a devoted family member who thrives in the middle of family activities. He is cheerful, affectionate, sometimes rowdy, and very smart _—” so smart he's thought to be one of the most intelligent dog breeds. He's an independent thinker, curious, with an uncanny ability to problem-solve. He excels in activities that require him to use his brain, such as obedience training, tricks, agility, conformation, and other dog sports.Interestingly, Eskies were once favorite circus performers. With his adorable looks and ability to learn quickly, the Eskie traveled about the United States in the late 19th century, stunning audiences with his amazing tricks.With intelligence comes independence, however. The Eskie is a freethinker, and those who know him recommend obedience training starting from puppyhood. Otherwise, this smart dog will outsmart his owner. Training teaches him proper canine manners and respect for his pack leader _—” you.In spite of his diminutive size, the Eskie thinks big. He's an excellent watchdog and will announce the comings and goings of strangers with barking _—” in fact, he can become a problem barker if left alone too long. Although he'll warm up in time to those he doesn't know, his first instinct is to be suspicious. The Eskie takes his watchdog duties very seriously, though he isn't overly aggressive.If you want a breed that has a lot to say, consider the American Eskimo Dog. This breed is very vocal, engaging in barks, yowls, and even mumbles. Many owners claim that their Eskies ""talk"" to them.If the Eskie isn't talking, he might be chewing. Most are avid chewers and need a constant supply of chew toys to keep them from munching ""illegal"" household items (and to help keep their teeth clean and healthy).The friendly Eskie is excellent with other dogs, cats, and children (though no dog of any breed should be left unsupervised with a young child).When it comes to activity, the American Eskimo Dog tends to be busy. He likes to keep moving, especially when young. (Older Eskies often become more sedate, preferring being petted and cuddled to running around.) Many owners keep more than one Eskie so the dogs can keep each other entertained, though lone Eskies do very well in busy households. Eskies make excellent apartment dogs as long as they are walked regularly and given plenty of opportunities for exercise.The American Eskimo Dog makes a beautiful, active companion for a household of one person or for a large family. A well-trained Eskie gives his family years of fun and joy."
